word,occurrences,avg_attention,avg_bias_drop,avg_anger_drop,avg_disgust_drop,avg_fear_drop,avg_joy_drop,avg_optimism_drop,avg_sadness_drop,avg_neutral_drop
trump,176,1.0,0.014320875687355345,0.010332811962474476,0.0059801507741212845,0.0005105368115685203,-0.002133417736992917,0.0003433540378781882,-0.009547683325680819,-0.012428687694905833
president,86,1.0,-0.0015293069530365078,0.013313506751559501,0.0027000094915545264,0.0066249818476133565,0.010208301852608835,0.015529569325058959,0.007866674124501472,-0.017159026462671367
donald,63,1.0,0.009152510572993567,0.00640680558151669,0.006377025965660337,-0.0011366565549184406,-0.009867388222898756,-0.00846151936621893,-0.0042865146247167436,-0.010087597937810989
democrats,49,1.0,0.030942962866048425,0.01385444950084297,0.018413917446623043,-0.003666719611810178,-0.012035170151871078,0.02468827762165848,0.0011264558653442227,-0.04086991825274059
who,44,1.0,-0.005102785304188728,0.004593293775211681,0.0017913024533878672,0.0007801624861630527,0.00249370661648837,0.003761440854180943,0.0015212749554352326,0.000645300881429152
while,39,1.0,-0.004416792247539911,-0.004408852794231513,0.0024039863775937986,0.005977084239323934,-0.0016162547354514783,0.005773421281423324,0.014171220744267488,0.010514030089745155
after,35,1.0,-0.0008846972669873919,-0.005270518575395857,0.0036695548466273717,-0.0038441321679524012,-0.00822761282324791,-0.0009209232670920236,-0.014978786664349692,0.0039003542491367884
new,34,1.0,0.00316980283926515,0.0015113318667692296,-0.00315868723041871,-0.0043643563985824585,0.01021780599566067,0.009976864518488155,-0.0057776403777739585,0.001810468514175976
said,34,1.0,-0.029074867639471504,0.007038004696369171,0.004627716453636394,-0.002580078209147734,-0.0073753528516082205,-0.0033229536869946647,-0.010282206842127968,-0.0043640557457419
also,32,1.0,-0.0008980712154880166,-0.001103739719837904,0.001641677226871252,0.003458541352301836,-0.002307818620465696,0.004500692244619131,0.0038804016076028347,-0.000941053032875061
not,29,1.0,-0.007769379379420445,-0.017402836474879033,-0.013112598195158202,-0.010564142773891318,0.01059380392062253,0.013746131083060956,-0.00011702267260387026,0.015227241762753191
there,26,1.0,-0.0007623181893275335,-0.006951000254887801,0.006798579142643855,-0.006231705156656412,-0.003397265162605506,0.00035904175960100617,-0.009758916898415638,0.002943318623762864
white,26,1.0,-0.0024023233697964596,0.0068241472427661605,0.015791247097345498,-0.008813659732158367,-0.003563886150144614,0.01367830141232564,-0.01100379515152711,-0.025236521775905903
one,24,1.0,-0.001023043878376484,0.005423206835985184,-0.006149552141626676,0.006207380443811417,0.003580277319997549,0.013080768287181854,0.005676788588364919,-0.0045662497480710345
many,23,1.0,-0.004471763644529426,0.00014336212821628737,-0.004818795815758083,-0.0060496453357779464,-0.0033550055130668307,-0.00017814467782559603,0.001930564803921658,0.006628778965576836
even,22,1.0,0.0021909207782962107,0.004868561571294611,0.005901571024547924,0.019304204393516888,0.009569283744150942,0.016155096617611973,0.007825510745698755,-0.01632509312846444
republicans,21,1.0,0.04165922052093914,0.012613929453350249,0.030649517973264057,-0.01924108962217967,-0.009397838442098527,-0.013212043614614578,-0.02582651341245288,-0.04005839249917439
former,21,1.0,0.008799889967555092,-0.002603622419493539,-0.0021373480558395386,0.0007386817818596249,0.002896171772763843,0.0038557847340901694,0.013691488830816178,-2.8691121510096957e-05
when,21,1.0,0.002069484974656786,0.009933767574174064,0.008268441472734724,0.005535401758693513,0.006420340566408066,0.005114395703588214,0.004855161621457054,-0.01878023999077933
democratic,21,1.0,-0.003392581074010758,0.0017568284556979225,-0.007958506544431051,-0.011178650316737947,-0.007897224099863143,0.026134842208453586,-0.0067062775293986005,-0.004676896901357742
women,21,1.0,-0.024922264828568415,0.026236175071625484,0.007389957706133525,0.0013459608668372745,-0.014061101313148226,0.0006281648363385882,0.0015182821523575555,-0.036189123278572446
rep,20,1.0,0.010788782685995101,0.02070767432451248,0.015586144477128982,0.006468752771615982,-0.0006645914167165756,0.006643214076757431,0.001920926570892334,-0.02058284282684326
some,20,1.0,-0.004451194033026695,-0.006938831508159637,-0.016410098969936372,-0.009421923011541367,-0.004694012738764286,-0.010128072649240493,-0.011033349111676216,0.02606598138809204
media,19,1.0,0.009837065480257335,-0.009033452915517907,-0.0249055929874119,-0.009783457768590827,-0.010367129194109063,0.006719928430883508,-0.014308583579565349,0.016471795345607557
